id,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,text,dataset,primary_anger,secondary_anger,primary_disgust,secondary_disgust,primary_fear,secondary_fear,primary_joy,secondary_joy,primary_sadness,secondary_sadness,primary_surprise,secondary_surprise
1,False,False,False,False,False,False,False,True,"RT @prayerbullets: I remove Nehushtan -previous moves of God that have become idols, from the high places -2 Kings 18:4 #SemST",test,False,False,False,False,False,False,False,False,False,False,False,True
2,False,False,False,False,False,False,False,True,@Brainman365 @heidtjj @BenjaminLives I have sought the truth of my soul and found it strong enough to stand on its own merits. #SemST,test,False,False,False,False,False,False,False,False,False,False,False,True
5,False,False,False,False,True,False,False,True,This world needs a tight group hug. Tight enough to relieve them from all this anger and hate. #MakePeaceWithEachOther #SemST,test,False,False,False,False,False,False,True,True,False,False,False,True
7,False,False,False,False,False,False,False,True,A Godly husband  - knows you - trusts you - loves you - respects you - honors you - supports you - wants you - appreciates you #God #SemST,test,False,False,False,False,False,False,False,False,False,False,False,True
9,True,False,False,False,False,False,False,False,#BIBLE = Big Irrelevant Book of Lies and Exaggerations ~ #Judaism #God #TeamJesus #Islam ~ #Truth & #Freedom = #SemST,test,True,True,False,False,False,False,False,False,False,False,False,False
10,False,False,False,False,False,True,False,False,"If only dreams were real, now it's gone. #SingleBecause #getonyourfeet #SemST",test,False,False,False,False,False,False,False,False,True,True,False,False
11,False,False,False,False,True,False,False,False,Happy Independence Day to America and her beautiful constitution #IndependenceDay #USA #SemST,test,False,False,False,False,False,False,True,True,False,False,False,False
12,False,True,False,False,False,False,False,True,Let my house be built by wisdom and become strong through good sense -Prov. 24:3 #SemST,test,False,False,False,False,False,False,False,True,False,False,False,True
15,False,False,False,False,True,False,False,False,#ILoveIslamBecause and v should love Islam because its a Deen instead of just a #SemST,test,False,False,False,False,False,False,True,True,False,False,False,False
16,False,False,False,False,False,False,False,True,"Be a sinner and sin strongly, but more strongly have faith and rejoice in Christ. ~ Martin Luther #SemST",test,False,False,False,False,False,False,False,False,False,False,False,True
18,False,True,False,False,False,False,False,True,"Mary, Queen of martyrs, pray for us. #Catholic #SemST",test,False,False,False,False,False,False,False,True,False,False,False,True
21,True,False,False,False,False,False,False,False,I am Baloch and I will not allow Talibanization in Balochistan ... #Taliban #Extremism #SemST,test,True,True,False,False,False,False,False,False,False,False,False,False
22,False,False,False,False,False,False,False,True,He became a slave to the cross that men could go free! #SemST,test,False,False,False,False,False,False,False,False,False,False,False,True
27,False,False,False,False,False,False,False,True,"Father, grant us grace to remain holy and a vessel of honour in ur house. #OpenHeaven #NatiVarietySunday #SundayMorningShow #SemST",test,False,False,False,False,False,False,False,False,False,False,False,True
29,False,False,False,False,False,False,False,True,I still remember the days when I prayed God for strength.. then suddenly God gave me difficulties to make me strong. Thank you God! #SemST,test,False,False,False,False,False,False,False,False,False,False,False,True
30,False,False,False,False,False,False,False,True,You'll never know how much God can do in your life until you ask.  #lifechangingJourneywithJesus #SemST,test,False,False,False,False,False,False,False,False,False,False,False,True
32,False,False,False,False,False,False,False,True,Sanctify them through Thy Truth: Thy Word is Truth   John 17:17 KJV  #SemST,test,False,False,False,False,False,False,False,False,False,False,False,True
33,False,True,False,False,False,False,False,True,"Psalm 86:17 Is. 7:14 God will give you a sign. ""Father, within the next 3 days, show me a sign; a token. #SemST",test,False,False,False,False,False,False,False,True,False,False,False,True
34,True,False,False,False,False,False,False,False,The Best #conspiracy of the world is #Religion. #science #davincisdemons #SemST,test,True,True,False,False,False,False,False,False,False,False,False,False
37,False,False,False,False,False,False,False,True,"You stay the same through the ages, Your love never changes...Your love never fails. #SemST",test,False,False,False,False,False,False,False,False,False,False,False,True
38,False,False,False,False,False,False,False,True,Just know that you're not an accident and that you're here by HIS divine providence.  #tcot #pjnet #ccot #christian #SemST,test,False,False,False,False,False,False,False,False,False,False,False,True
39,False,False,False,False,False,False,False,True,"I am addicted to your light.  Everywhere I look you are there. I can feel your Halo, I pray you won't fade away.   #SemST",test,False,False,False,False,False,False,False,False,False,False,False,True
40,False,False,False,False,False,False,False,True,FAITH sees beyond the difficulties and counts on God.  -Colon Smith #SemST,test,False,False,False,False,False,False,False,False,False,False,False,True
43,True,False,False,False,False,False,False,False,We often talk of unbelief as if it were an affliction to be pitied instead of a crime to be condemned. - Charles Spurgeon #GOD #SemST,test,True,True,False,False,False,False,False,False,False,False,False,False
46,False,False,False,False,True,False,False,False,"Proud to be #TeamJinnah :) No Bhutto, no Imran's , only Jinnah's Pakistan :) #Inclusive #SemST",test,False,False,False,False,False,False,True,True,False,False,False,False
47,False,False,False,False,True,False,False,False,Great baptism service at #woodgreen very moving stories of people's faith in #rich_lacey #SemST,test,False,False,False,False,False,False,True,True,False,False,False,False
57,False,False,False,False,True,False,False,False,Your word has given me life -Ps. 119:49-50 #SemST,test,False,False,False,False,False,False,True,True,False,False,False,False
58,False,False,False,False,False,False,False,True,God gives us the right to do what we want; as long as we understand the outcomes of our actions. #spiritual #SemST,test,False,False,False,False,False,False,False,False,False,False,False,True
59,False,True,False,False,False,False,False,True,The deeper I go with in- The deeper~> the silence- the peace- the healing- the clarity- the vision- the belief- The deeper my  #SemST,test,False,False,False,False,False,False,False,True,False,False,False,True
60,False,False,False,False,False,False,False,True,RT @faithsns716: Psalm103:3-Who forgives all your iniquities; who heals all your diseases #SemST,test,False,False,False,False,False,False,False,False,False,False,False,True
63,False,False,False,False,False,False,False,True,"RT @ACatholicPrayer: Holy Trinity, one God, Have #mercy on us. #Catholic #SemST",test,False,False,False,False,False,False,False,False,False,False,False,True
66,False,False,False,False,False,False,False,True,What really builds a relationship is when we relate to what we don't understand about God.  #Emunah #SemST,test,False,False,False,False,False,False,False,False,False,False,False,True
67,False,True,False,False,False,False,False,False,I am human. I look forward to the extinction of humanity with eager anticipation. We deserve nothing less. #SemST,test,False,False,False,False,False,False,False,True,False,False,False,False
69,False,False,False,False,False,False,False,True,By faith we receive what Christ did for us and we repent to show that we have received what He did. #repentance #atonement #SemST,test,False,False,False,False,False,False,False,False,False,False,False,True
70,False,False,False,True,False,False,False,False,Let Your fear come upon every soul in my city -Acts 2:43 #SemST,test,False,False,False,False,True,True,False,False,False,False,False,False
71,True,False,False,False,False,False,False,False,"Absolutely fucking sick & tired of the religious and their ""We're persecuted"" bollocks! So fucking what? Pissoff! #SemST",test,True,True,False,False,False,False,False,False,False,False,False,False
73,False,True,False,False,False,False,False,False,Join me on #Periscope M-F @ 8am! #Entrepreneurship #Productivity #ChristianEntrepreneurs #SemST,test,False,False,False,False,False,False,False,True,False,False,False,False
74,False,False,False,False,True,False,False,True,Praise and thank God for everything in your life today. #grateful #SemST,test,False,False,False,False,False,False,True,True,False,False,False,True
